_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
154,Dallas Mavericks vs. Los Angeles Lakers,vvG1YZ9oFlwIv0,Basketball,145.0,950.0,2022-08-25T15:00:00Z,2022-08-26T02:00:00Z,2022-08-27T15:00:00Z,2022-12-25T21:30:00Z,2022-12-25T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171o17, K8vZ91718T0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
155,Vegas Golden Knights vs. Arizona Coyotes,Z7r9jZ1Adfs1F,Hockey,0.0,0.0,NA,NA,1900-01-01T06:00:00Z,2022-12-22T03:00:00Z,2022-12-21T00:00:00.000-05:00,NA,"K8vZ917pkPf, K8vZ9171oo7",UNKNOWN,UNKNOWN
156,Boston Bruins vs. Buffalo Sabres,vvG17Z9uDXNa5f,Hockey,225.0,1541.5,2022-07-07T14:00:00Z,2022-07-07T17:55:00Z,2022-07-07T18:00:00Z,2022-12-31T19:00:00Z,2022-12-31T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o27, K8vZ9171oz7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
157,Shania Twain: Queen Of Me Tour,vvG1bZ9bpR53Ja,Country,46.95,221.95,2022-12-13T16:00:00Z,2022-12-16T04:00:00Z,2022-12-16T16:00:00Z,2023-11-03T01:30:00Z,2023-11-02T00:00:00.000-04:00,LIVE NATION MUSIC,"K8vZ91719n0, K8vZ917_360",TICKETS_AVAILABLE,TICKETS_AVAILABLE
158,Cleveland Browns vs. New Orleans Saints,vvG1fZ915EjEAr,Football,59.0,750.0,NA,NA,2022-05-13T00:00:00Z,2022-12-24T19:00:00Z,2022-12-24T00:00:00.000-05:00,NFL REGULAR SEASON,"K8vZ9171oV7, K8vZ9171ouV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
159,Los Angeles Lakers vs. Charlotte Hornets,G5eYZ98HCKOVI,Basketball,110.0,1000.0,2022-08-29T22:00:00Z,2022-08-30T05:00:00Z,2022-08-30T17:00:00Z,2022-12-24T03:30:00Z,2022-12-23T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ91718T0, K8vZ9175Nnf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
160,Tennessee Titans vs. Houston Texans,G5viZ9aCSeJOi,Football,60.0,390.0,NA,NA,2022-05-13T00:00:00Z,2022-12-24T19:00:00Z,2022-12-24T00:00:00.000-05:00,NFL REGULAR SEASON,"K8vZ91719u7, K8vZ91756Kf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
161,Phoenix Suns vs. Los Angeles Lakers,G5v0Z98m2cs4j,Basketball,68.0,5268.0,2022-08-17T19:30:00Z,2022-08-29T20:00:00Z,2022-08-29T20:00:00Z,2022-12-20T04:00:00Z,2022-12-19T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oZf, K8vZ91718T0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
162,Detroit Red Wings vs. Tampa Bay Lightning,vvG1OZ9uMPAAf4,Hockey,69.0,355.0,2022-07-07T14:00:00Z,2022-12-22T00:00:00Z,2022-08-05T14:00:00Z,2022-12-22T00:00:00Z,2022-12-21T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171oBV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
163,Los Angeles Lakers vs. Washington Wizards,G5eYZ98HC3OVJ,Basketball,90.0,1000.0,2022-08-29T22:00:00Z,2022-08-30T05:00:00Z,2022-08-30T17:00:00Z,2022-12-19T02:30:00Z,2022-12-18T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ91718T0, K8vZ9171oVf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
164,Washington Wizards vs. Philadelphia 76ers,G5vfZ9odk8Ne6,Basketball,32.0,888.0,2022-08-17T19:00:00Z,2022-08-29T02:00:00Z,NA,NA,2022-12-27T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oVf, K8vZ9171oZ0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
165,Boston Bruins vs. Winnipeg Jets,vvG17Z9uDXxt5u,Hockey,170.0,1541.5,2022-07-07T14:00:00Z,2022-07-07T17:55:00Z,2022-07-07T18:00:00Z,2022-12-23T01:00:00Z,2022-12-22T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o27, K8vZ917Cly7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
166,Boston Bruins vs. Florida Panthers,vvG17Z9uDX-y5a,Hockey,105.0,1541.5,2022-07-07T14:00:00Z,2022-07-07T17:55:00Z,2022-07-07T18:00:00Z,2022-12-20T01:00:00Z,2022-12-19T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o27, K8vZ9171pMf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
167,Cleveland Cavaliers vs. Brooklyn Nets,Z7r9jZ1Ad4sqk,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2022-12-27T00:00:00Z,2022-12-26T00:00:00.000-05:00,NA,"K8vZ9171oa7, K8vZ9171o5f",UNKNOWN,UNKNOWN
168,Pittsburgh Penguins vs. Detroit Red Wings,G5vbZ9CkQTsz3,Hockey,89.0,999.0,2022-08-02T14:00:00Z,2022-08-03T13:59:00Z,2022-08-03T14:00:00Z,2022-12-29T01:00:00Z,2022-12-28T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o8f, K8vZ9171o20",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
169,Eagles,G5vYZ9KBoi95B,Rock,299.95,679.95,NA,NA,2022-10-07T17:00:00Z,2023-02-18T02:00:00Z,2023-02-17T00:00:00.000-05:00,PROMOTED BY VENUE,K8vZ9171ob7,TICKETS_AVAILABLE,TICKETS_NOT_AVAILABLE
170,LA Clippers vs. Miami HEAT,Z7r9jZ1Ad4sO3,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-03T03:30:00Z,2023-01-02T00:00:00.000-05:00,NA,"K8vZ9171o1V, K8vZ9171oZ7",UNKNOWN,UNKNOWN
171,Carolina Hurricanes vs. Pittsburgh Penguins,G5eVZ92Jp5KzQ,Hockey,45.0,350.0,NA,NA,2022-08-10T16:00:00Z,2022-12-18T23:00:00Z,2022-12-18T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o2f, K8vZ9171o8f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
172,Golden State Warriors vs. Los Angeles Lakers,G5vYZ98wrTwjs,Basketball,235.0,4000.0,2022-08-17T19:00:00Z,2022-10-19T02:00:00Z,2022-09-15T17:00:00Z,2023-02-12T02:00:00Z,2023-02-11T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oa0, K8vZ91718T0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
173,Washington Wizards vs. Golden State Warriors,G5vfZ9odATxXO,Basketball,115.0,1610.0,2022-08-17T19:00:00Z,2022-08-29T02:00:00Z,NA,NA,2023-01-16T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ9171oVf, K8vZ9171oa0",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
174,Detroit Red Wings vs. Florida Panthers,vvG1OZ9uMPk4fP,Hockey,69.0,355.0,2022-07-07T14:00:00Z,2023-01-07T00:00:00Z,2022-08-05T14:00:00Z,2023-01-07T00:00:00Z,2023-01-06T00:00:00.000-05:00,NHL REGULAR SEASON,"K8vZ9171o20, K8vZ9171pMf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
175,Brooklyn Nets vs. Philadelphia 76ers,Z7r9jZ1Ad4s-P,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-02-11T23:00:00Z,2023-02-11T00:00:00.000-05:00,NA,"K8vZ9171o5f, K8vZ9171oZ0",UNKNOWN,UNKNOWN
176,Boston Celtics vs. Milwaukee Bucks,vvG17Z9oenrevC,Basketball,144.5,1254.5,NA,NA,2022-08-19T14:00:00Z,2022-12-25T23:00:00Z,2022-12-25T00:00:00.000-05:00,NBA REGULAR SEASON,"K8vZ91718Xf, K8vZ91718TV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
177,Los Angeles Kings vs. Boston Bruins,Z7r9jZ1AdfsqN,Hockey,0.0,0.0,NA,NA,1900-01-01T06:00:00Z,2023-01-06T03:30:00Z,2023-01-05T00:00:00.000-05:00,NA,"K8vZ9171ozf, K8vZ9171o27",UNKNOWN,UNKNOWN
