,attraction_id,attraction_name,total_upcoming_attraction_events,upcoming_attraction_ticketmaster_events,attraction_genre
184,K8vZ917Gun0,Ohio State Buckeyes Football,6,1,Football
185,K8vZ9171oa7,Cleveland Cavaliers,51,21,Basketball
186,K8vZ9171KM7,Colorado Avalanche,53,52,Hockey
187,K8vZ9175iO0,Miranda Lambert,24,24,Country
188,K8vZ9171pMf,Florida Panthers,50,48,Hockey
189,K8vZ91718D0,Los Angeles Angels,218,49,Baseball
190,K8vZ9172Wtf,Pentatonix,16,8,Rock
191,K8vZ9175G-f,Disney On Ice presents Let's Celebrate,100,57,Ice Shows
192,K8vZ9171oaf,Denver Nuggets,54,46,Basketball
193,K8vZ9171GRV,New Kids On the Block,1,NA,Rock
194,K8vZ917QfVV,Disney On Ice presents Frozen & Encanto,164,117,Ice Shows
195,K8vZ91718T7,Detroit Pistons,50,45,Basketball
196,K8vZ9171-9f,Minnesota Wild,52,50,Hockey
197,K8vZ9171o_0,New York Islanders,50,48,Hockey
198,K8vZ9179H60,Disney On Ice presents Road Trip Adventures,122,108,Ice Shows
199,K8vZ91718DV,Cleveland Guardians,198,31,Baseball
