_c0,event_name,event_id,event_type,trans_min,trans_max,presale_start,presale_end,pub_sale_start,pub_sale_end,event_date,event_promoter,event_attraction_ids,resaleStatus,status
32,San Francisco 49ers vs. Arizona Cardinals,G5vYZ9ahef62m,Football,69.0,995.0,2022-05-13T00:00:00Z,2023-01-07T22:05:00Z,2022-05-13T00:00:00Z,2023-01-08T22:25:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171oMV, K8vZ917198f",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
33,Los Angeles Kings vs. Boston Bruins,Z7r9jZ1AdfsqN,Hockey,0.0,0.0,NA,NA,1900-01-01T06:00:00Z,2023-01-06T03:30:00Z,2023-01-05,NA,"K8vZ9171ozf, K8vZ9171o27",UNKNOWN,UNKNOWN
34,Philadelphia Eagles vs. New York Giants,vvG1FZ9a3T5N_S,Football,76.0,560.0,NA,NA,2022-06-07T14:00:00Z,2023-01-09T04:59:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171oU0, K8vZ9171oCf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
35,Pittsburgh Steelers vs. Cleveland Browns,G5vbZ96Dxmgy0,Football,50.0,370.0,2022-05-13T13:00:00Z,2022-05-13T16:00:00Z,2022-05-13T16:00:00Z,2023-01-08T19:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171ogV, K8vZ9171oV7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
36,LA Clippers vs. Atlanta Hawks,Z7r9jZ1Ad4sOK,Basketball,0.0,0.0,NA,NA,1900-01-01T18:00:00Z,2023-01-09T02:00:00Z,2023-01-08,NA,"K8vZ9171o1V, K8vZ91718XV",UNKNOWN,UNKNOWN
37,Vegas Golden Knights vs. Pittsburgh Penguins,Z7r9jZ1Adfs1_,Hockey,0.0,0.0,NA,NA,1900-01-01T06:00:00Z,2023-01-06T03:00:00Z,2023-01-05,NA,"K8vZ917pkPf, K8vZ9171o8f",UNKNOWN,UNKNOWN
38,P!NK: Summer Carnival 2023,G5vjZ9kKED9Op,Rock,45.83,350.0,2022-11-16T18:00:00Z,2022-11-21T07:00:00Z,2022-11-21T18:00:00Z,2023-10-08T04:30:00Z,2023-10-07,LIVE NATION MUSIC,"K8vZ9171Jo7, K8vZ9175z3V, K8vZ917ufxV, K8vZ9178Lb7",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
39,2023 Navy Federal Credit Union NHL Stadium Series WSH v CAR,G5eVZ9oXJg06s,Hockey,40.0,475.0,2022-09-20T14:00:00Z,2022-09-26T03:59:00Z,2022-10-27T14:00:00Z,2023-02-19T01:00:00Z,2023-02-18,PROMOTED BY VENUE,"K8vZ917oHKV, K8vZ9171o8V, K8vZ9171o2f",TICKETS_NOT_AVAILABLE,TICKETS_NOT_AVAILABLE
40,Cincinnati Bengals vs. Baltimore Ravens,G5vbZ9aMq_knF,Football,99.0,998.0,NA,NA,2022-05-13T00:00:00Z,2023-01-08T19:00:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171ovV, K8vZ91719eV",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
41,Green Bay Packers vs. Detroit Lions,vvG1jZ9ah4vPEG,Football,89.0,432.0,2022-05-13T00:00:00Z,2023-01-08T19:00:00Z,2022-08-08T22:00:00Z,2023-01-09T02:20:00Z,2023-01-08,NFL REGULAR SEASON,"K8vZ9171oC7, K8vZ9171oUf",TICKETS_AVAILABLE,FEW_TICKETS_LEFT
